Source,Fake News Watch,The Daily Dot,U.S. News and World Report,New Republic,CBS News,about.com,NPR,Snopes Field Guide,Kate Starbird,Opensources,Craig Silverman,Politifact,n_consensus
alternativemediasyndicate.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
dailysidnews.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
eutimes.net,No,No,No,No,No,No,No,No,No,Yes,No,No,1
wearechange.org,No,No,No,No,No,No,No,No,No,Yes,No,No,1
educateinspirechange.org/health,No,No,No,No,No,No,No,No,No,Yes,No,No,1
mpidailymagazine.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
educate-yourself.org,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
reflectionofmind.org,No,No,No,No,No,No,No,No,No,No,No,Yes,1
spinzon.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
departedme.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
fakingnews.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
russia-insider.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
usuncut.com,No,Yes,No,No,No,No,No,No,No,Yes,No,No,2
americanfreepress.net,No,No,No,No,No,No,No,No,No,Yes,No,No,1
thevalleyreport.com,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2
patriotchronicle.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
diversitychronicle.wordpress.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
newswithviews.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
worldpoliticsnow.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
patriotcrier.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
humortimes.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
politicass.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
theamericanindependent.wordpress.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
subjectpolitics.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
newstarget.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
cnn-globalnews.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1
bluevision.news,No,No,No,No,No,No,No,No,No,No,No,Yes,1
patriotusa.website,No,No,No,No,No,No,No,No,No,No,No,Yes,1
themindunleashed.org,No,No,No,No,No,No,No,No,No,Yes,No,No,1
theusa-news.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
nationindistress.weebly.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
libertywritersnews.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
empirehearland.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
dailyken.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
undergroundworldnews.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
countercurrentnews.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
