,Source,Fake News Watch,The Daily Dot,U.S. News and World Report,New Republic,CBS News,about.com,NPR,Snopes Field Guide,Kate Starbird,Opensources,Craig Silverman,Politifact,n_consensus,domain,volume
282,dcclothesline.com,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,3,,
283,dcgazette.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
284,ddemocraticunderground.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
285,deadlinelive.info,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
286,deadlyclear.wordpress.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
287,debunkingskeptics.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
288,deepinsidetherabbithole.com,No,No,No,No,No,No,No,No,Yes,No,No,No,1,,
289,defenddemocracy.press,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
290,defenseusa.club,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
291,democraticmoms.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
292,democraticunderground.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
293,demyx.com,No,No,No,Yes,No,No,No,No,No,No,No,No,1,,
294,denverguardian.com,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,3,,
295,denverinquirer.com,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2,,
296,departed.co,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
297,departedme.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
298,departedmedia.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,,
299,der-postillon.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
300,derfmagazine.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,,
301,dineal.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
302,disclose.tv,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,4,,
303,disclosuremedia.net,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
304,diversitychronicle.wordpress.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
305,diyhours.net,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,,
306,dollarvigilante.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
307,donaldtrumpnews.co,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
308,donaldtrumppotus45.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,,
309,dont-tread-on.me,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
310,downtrend.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
311,drrichswier.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
312,drudgereport.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
313,drudgereport.com.co,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
314,drugsofficial.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
315,dublintribune.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
316,duffelblog.com,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,4,,
317,duffleblog.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
318,duhprogressive.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,,
319,dutchsinse.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
320,eaglerising.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
321,ebolahoax.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
322,educate-yourself.org,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,,
323,educateinspirechange.org/health,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
324,electionnightgatekeepers.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
